Candidate,Criteria,,DeepSeek,Flash,Gemini,Qwen,AVERAGE
,,AVERAGE,0.4083333333,0.35,0.3791666667,0.3847222222,0.3805555556
,Summary,Fluency,0.01111111111,0.01111111111,0.03333333333,0,0.01388888889
,,Coherence,0.01111111111,0.01111111111,0.05555555556,0,0.01944444445
,,Conciseness,0.4777777778,0.6888888889,0.7333333333,0.6666666667,0.6416666667
,,Accuracy,0.3277777778,0,0.1833333333,0.5277777778,0.2597222222
,,Constructiveness,0.06666666667,0.03333333333,0.08888888889,0.03333333333,0.05555555556
,,Motivational tone,0.1666666667,0.2111111111,0.1555555556,0.2111111111,0.1861111111
,,Sentiment match,0.2555555556,0.05555555556,0.1555555556,0.04444444444,0.1277777778
,,Final choice,0.01111111111,0.04444444444,0.04444444444,0,0.025
,,AVERAGE,0.1659722222,0.1319444444,0.18125,0.1854166667,0.1661458333
Gemini,Idea-to-Text,Fluency,0.3666666667,0.2777777778,0.3111111111,0.1222222222,0.2694444445
,,Coherence,0.2666666667,0.1666666667,0.06666666667,0.1666666667,0.1666666667
,,Conciseness,0.9,0.9444444444,0.9555555556,0.6777777778,0.8694444445
,,Accuracy,0.02777777778,0.1,0.07222222222,0.1555555556,0.0888888889
,,Constructiveness,0.3555555556,0.2333333333,0.4,0.2777777778,0.3166666667
,,Motivational tone,0.7555555556,0.5444444444,0.7111111111,0.5444444444,0.6388888889
,,Sentiment match,0.5666666667,0.3222222222,0.2444444444,0.03333333333,0.2916666667
,,Final choice,0.4444444444,0.4,0.1666666667,0.1222222222,0.2833333333
,,AVERAGE,0.4604166667,0.3736111111,0.3659722222,0.2625,0.365625
,Interpret,Fluency,0.5111111111,0.5333333333,0.6666666667,0.4888888889,0.55
,,Coherence,0.2333333333,0.1777777778,0.3,0.1111111111,0.2055555556
,,Conciseness,0.8888888889,0.9222222222,0.8555555556,0.8111111111,0.8694444445
,,Accuracy,0.06111111111,0,0.1055555556,0.2722222222,0.1097222222
,,Constructiveness,0.2111111111,0.2111111111,0.1777777778,0.1111111111,0.1777777778
,,Motivational tone,0.08888888889,0.2111111111,0.1444444444,0.1333333333,0.1444444444
,,Sentiment match,0.6,0.7555555556,0.6777777778,0.6111111111,0.6611111111
,,Final choice,0.3,0.3888888889,0.3666666667,0.3666666667,0.3555555556
,,AVERAGE,0.3618055556,0.4,0.4118055556,0.3631944444,0.3842013889
,Summary,Fluency,0.6444444444,0.6333333333,0.6,0.4666666667,0.5861111111
,,Coherence,0.4222222222,0.4444444444,0.4777777778,0.4777777778,0.4555555556
,,Conciseness,0.6333333333,0.5888888889,0.5666666667,0.6222222222,0.6027777778
,,Accuracy,0.3666666667,0.5,0.5,0.4666666667,0.4583333334
,,Constructiveness,0.3444444444,0.4555555556,0.4,0.5,0.425
,,Motivational tone,0.4444444444,0.5222222222,0.5111111111,0.5222222222,0.5
,,Sentiment match,0.5333333333,0.5222222222,0.6333333333,0.4333333333,0.5305555555
,,Final choice,0.4666666667,0.5333333333,0.4777777778,0.5333333333,0.5027777778
,,AVERAGE,0.4819444444,0.525,0.5208333333,0.5027777778,0.5076388889
