scope,judge,task_type,criterion,std_beta,n_obs,note
JUDGE_TASK,gemini,Interpretation,Conciseness,-0.009622304711981472,120,
JUDGE_TASK,gemini,Interpretation,Accuracy,-0.24180614109889045,120,
JUDGE_TASK,gemini,Summarise,Fluency,0.261901263314222,120,
JUDGE_TASK,gemini,Summarise,Coherence,0.23815910585255723,120,
JUDGE_TASK,gemini,Summarise,Constructiveness,0.23562816559077576,120,
JUDGE_TASK,gemini,Summarise,Motivational tone,0.08826424702250113,120,
JUDGE_TASK,gemini,Summarise,Sentiment match,0.02131130341293028,120,
JUDGE_TASK,gemini,Summarise,Conciseness,-0.05504565812353257,120,
JUDGE_TASK,gemini,Summarise,Accuracy,-0.06115577095498917,120,
JUDGE_TASK,qwen,Idea-to-Text,Constructiveness,0.5774918691220353,120,
JUDGE_TASK,qwen,Idea-to-Text,Fluency,0.33194596068305227,120,
JUDGE_TASK,qwen,Idea-to-Text,Accuracy,0.1252027951514573,120,
JUDGE_TASK,qwen,Idea-to-Text,Sentiment match,0.07578548284643667,120,
JUDGE_TASK,qwen,Idea-to-Text,Coherence,-0.05642503186427007,120,
JUDGE_TASK,qwen,Idea-to-Text,Conciseness,-0.06838743615503984,120,
JUDGE_TASK,qwen,Idea-to-Text,Motivational tone,-0.14959237374900083,120,
JUDGE_TASK,qwen,Interpretation,Sentiment match,0.3555192214903098,120,
JUDGE_TASK,qwen,Interpretation,Constructiveness,0.3374502246765879,120,
JUDGE_TASK,qwen,Interpretation,Motivational tone,0.19970655722677907,120,
JUDGE_TASK,qwen,Interpretation,Fluency,0.15073192031798593,120,
JUDGE_TASK,qwen,Interpretation,Coherence,0.12031071147729097,120,
JUDGE_TASK,qwen,Interpretation,Conciseness,0.006256886759396604,120,
JUDGE_TASK,qwen,Interpretation,Accuracy,-0.3517991668419657,120,
JUDGE_TASK,qwen,Summarise,Fluency,0.40137095651366195,120,
JUDGE_TASK,qwen,Summarise,Coherence,0.2563107103281435,120,
JUDGE_TASK,qwen,Summarise,Constructiveness,0.18773975520858743,120,
JUDGE_TASK,qwen,Summarise,Sentiment match,0.14069282428946342,120,
JUDGE_TASK,qwen,Summarise,Conciseness,0.002576569953432681,120,
JUDGE_TASK,qwen,Summarise,Motivational tone,-0.0015841440582901045,120,
JUDGE_TASK,qwen,Summarise,Accuracy,-0.09781575983547268,120,
TASK,ALL,Idea-to-Text,Constructiveness,0.26821569241217186,480,
TASK,ALL,Idea-to-Text,Fluency,0.18536130012156168,480,
TASK,ALL,Idea-to-Text,Accuracy,0.12100751309808727,480,
TASK,ALL,Idea-to-Text,Coherence,0.11155883279516357,480,
TASK,ALL,Idea-to-Text,Sentiment match,0.07651819910035991,480,
TASK,ALL,Idea-to-Text,Motivational tone,-0.027885177813639417,480,
TASK,ALL,Idea-to-Text,Conciseness,-0.048168705423150306,480,
TASK,ALL,Interpretation,Motivational tone,0.40378118505478794,480,
TASK,ALL,Interpretation,Coherence,0.1931269736483947,480,
TASK,ALL,Interpretation,Sentiment match,0.1550252837994231,480,
TASK,ALL,Interpretation,Fluency,0.12741078414680032,480,
TASK,ALL,Interpretation,Constructiveness,0.06690560959310726,480,
TASK,ALL,Interpretation,Conciseness,-0.041233805980429764,480,
TASK,ALL,Interpretation,Accuracy,-0.19548935113961752,480,
TASK,ALL,Summarise,Coherence,0.3294992535295114,480,
TASK,ALL,Summarise,Constructiveness,0.2698300811920255,480,
TASK,ALL,Summarise,Fluency,0.23765803119906553,480,
TASK,ALL,Summarise,Sentiment match,0.05641730984280728,480,
TASK,ALL,Summarise,Motivational tone,0.009097236069802832,480,
TASK,ALL,Summarise,Conciseness,-0.02500850428868275,480,
TASK,ALL,Summarise,Accuracy,-0.03069880045513579,480,
