task_id,question_id,task_type,criterion,model_name,candidate_index,rank,evaluator
C3,Q03,Idea-to-Text,Conciseness,DeepSeek,3,2,C_V1
C3,Q03,Idea-to-Text,Conciseness,Flash,4,3,C_V1
C3,Q03,Idea-to-Text,Conciseness,Qwen,1,4,C_V1
C3,Q04,Idea-to-Text,Accuracy,Qwen,1,1,C_V1
C3,Q04,Idea-to-Text,Accuracy,Flash,3,2,C_V1
C3,Q05,Idea-to-Text,Sentiment match,Qwen,1,1,C_V1
C3,Q05,Idea-to-Text,Sentiment match,Flash,2,2,C_V1
C3,Q05,Idea-to-Text,Sentiment match,DeepSeek,4,3,C_V1
C3,Q05,Idea-to-Text,Sentiment match,Gemini,3,4,C_V1
C3,Q06,Idea-to-Text,Motivational tone,Gemini,3,1,C_V1
C3,Q06,Idea-to-Text,Motivational tone,DeepSeek,1,2,C_V1
C3,Q06,Idea-to-Text,Motivational tone,Flash,4,3,C_V1
C3,Q06,Idea-to-Text,Motivational tone,Qwen,2,4,C_V1
C3,Q07,Idea-to-Text,Constructiveness,Gemini,4,1,C_V1
C3,Q07,Idea-to-Text,Constructiveness,DeepSeek,1,2,C_V1
C3,Q07,Idea-to-Text,Constructiveness,Qwen,2,3,C_V1
C3,Q07,Idea-to-Text,Constructiveness,Flash,3,4,C_V1
C3,Q08,Idea-to-Text,Final choice,Gemini,1,1,C_V1
C3,Q08,Idea-to-Text,Final choice,DeepSeek,2,2,C_V1
C3,Q08,Idea-to-Text,Final choice,Flash,3,3,C_V1
C3,Q08,Idea-to-Text,Final choice,Qwen,4,4,C_V1
C7,Q01,Summarise,Fluency,Qwen,2,1,C_V1
C7,Q01,Summarise,Fluency,Flash,4,2,C_V1
C7,Q01,Summarise,Fluency,Gemini,1,3,C_V1
C7,Q01,Summarise,Fluency,DeepSeek,3,4,C_V1
C7,Q02,Summarise,Coherence,Qwen,1,1,C_V1
C7,Q02,Summarise,Coherence,Flash,4,2,C_V1
C7,Q02,Summarise,Coherence,Gemini,2,3,C_V1
C7,Q02,Summarise,Coherence,DeepSeek,3,4,C_V1
C7,Q03,Summarise,Conciseness,DeepSeek,4,1,C_V1
C7,Q03,Summarise,Conciseness,Gemini,2,2,C_V1
C7,Q03,Summarise,Conciseness,Qwen,1,3,C_V1
C7,Q03,Summarise,Conciseness,Flash,3,4,C_V1
C7,Q04,Summarise,Accuracy,Qwen,1,1,C_V1
C7,Q04,Summarise,Accuracy,DeepSeek,2,2,C_V1
C7,Q04,Summarise,Accuracy,Flash,3,3,C_V1
C7,Q04,Summarise,Accuracy,Gemini,4,4,C_V1
C7,Q05,Summarise,Sentiment match,Qwen,4,1,C_V1
C7,Q05,Summarise,Sentiment match,Flash,2,2,C_V1
C7,Q05,Summarise,Sentiment match,Gemini,1,3,C_V1
C7,Q05,Summarise,Sentiment match,DeepSeek,3,4,C_V1
C7,Q06,Summarise,Motivational tone,Qwen,3,1,C_V1
C7,Q06,Summarise,Motivational tone,Gemini,2,2,C_V1
C7,Q06,Summarise,Motivational tone,Flash,4,3,C_V1
C7,Q06,Summarise,Motivational tone,DeepSeek,1,4,C_V1
C7,Q07,Summarise,Constructiveness,Qwen,1,1,C_V1
C7,Q07,Summarise,Constructiveness,Flash,3,2,C_V1
C7,Q07,Summarise,Constructiveness,Gemini,4,3,C_V1
C7,Q07,Summarise,Constructiveness,DeepSeek,2,4,C_V1
C7,Q08,Summarise,Final choice,Qwen,3,1,C_V1
C7,Q08,Summarise,Final choice,Flash,1,2,C_V1
C7,Q08,Summarise,Final choice,Gemini,2,3,C_V1
C7,Q08,Summarise,Final choice,DeepSeek,4,4,C_V1
C8,Q01,Summarise,Fluency,Qwen,4,1,C_V1
C8,Q01,Summarise,Fluency,Flash,1,2,C_V1
C8,Q01,Summarise,Fluency,Gemini,2,3,C_V1
C8,Q01,Summarise,Fluency,DeepSeek,3,4,C_V1
C8,Q02,Summarise,Coherence,Qwen,1,1,C_V1
C8,Q02,Summarise,Coherence,Gemini,4,2,C_V1
C8,Q02,Summarise,Coherence,Flash,3,3,C_V1
C8,Q02,Summarise,Coherence,DeepSeek,2,4,C_V1
C8,Q03,Summarise,Conciseness,Gemini,1,1,C_V1
C8,Q03,Summarise,Conciseness,DeepSeek,2,2,C_V1
C8,Q03,Summarise,Conciseness,Flash,4,3,C_V1
C8,Q03,Summarise,Conciseness,Qwen,3,4,C_V1
C8,Q04,Summarise,Accuracy,Gemini,1,1,C_V1
C8,Q04,Summarise,Accuracy,DeepSeek,2,2,C_V1
C8,Q04,Summarise,Accuracy,Flash,3,3,C_V1
C8,Q04,Summarise,Accuracy,Qwen,4,4,C_V1
C8,Q05,Summarise,Sentiment match,Qwen,3,1,C_V1
C8,Q05,Summarise,Sentiment match,Flash,1,2,C_V1
C8,Q05,Summarise,Sentiment match,Gemini,4,3,C_V1
C8,Q05,Summarise,Sentiment match,DeepSeek,2,4,C_V1
C8,Q06,Summarise,Motivational tone,Qwen,4,1,C_V1
C8,Q06,Summarise,Motivational tone,Flash,3,2,C_V1
C8,Q06,Summarise,Motivational tone,Gemini,2,3,C_V1
C8,Q06,Summarise,Motivational tone,DeepSeek,1,4,C_V1
C8,Q07,Summarise,Constructiveness,Qwen,1,1,C_V1
C8,Q07,Summarise,Constructiveness,Flash,3,2,C_V1
C8,Q07,Summarise,Constructiveness,Gemini,4,3,C_V1
C8,Q07,Summarise,Constructiveness,DeepSeek,2,4,C_V1
C8,Q08,Summarise,Final choice,Qwen,4,1,C_V1
C8,Q08,Summarise,Final choice,Flash,2,2,C_V1
C8,Q08,Summarise,Final choice,Gemini,1,3,C_V1
C8,Q08,Summarise,Final choice,DeepSeek,3,4,C_V1
