task_id,question_id,task_type,criterion,model_name,candidate_index,rank,evaluator
C16,Q01,Interpret,Fluency,Qwen,1,1,C_V4
C16,Q01,Interpret,Fluency,Flash,4,2,C_V4
C16,Q01,Interpret,Fluency,Gemini,3,3,C_V4
C16,Q01,Interpret,Fluency,DeepSeek,2,4,C_V4
C16,Q02,Interpret,Coherence,DeepSeek,1,1,C_V4
C16,Q02,Interpret,Coherence,Qwen,2,2,C_V4
C16,Q02,Interpret,Coherence,Gemini,3,3,C_V4
C16,Q02,Interpret,Coherence,Flash,4,4,C_V4
C16,Q03,Interpret,Conciseness,Gemini,3,1,C_V4
C16,Q03,Interpret,Conciseness,DeepSeek,1,2,C_V4
C16,Q03,Interpret,Conciseness,Flash,2,3,C_V4
C16,Q03,Interpret,Conciseness,Qwen,4,4,C_V4
C16,Q04,Interpret,Accuracy,DeepSeek,1,1,C_V4
C16,Q04,Interpret,Accuracy,Gemini,3,2,C_V4
C16,Q04,Interpret,Accuracy,Flash,4,3,C_V4
C16,Q05,Interpret,Sentiment match,DeepSeek,3,1,C_V4
C16,Q05,Interpret,Sentiment match,Gemini,1,2,C_V4
C16,Q05,Interpret,Sentiment match,Flash,2,3,C_V4
C16,Q05,Interpret,Sentiment match,Qwen,4,4,C_V4
C16,Q06,Interpret,Motivational tone,Qwen,3,1,C_V4
C16,Q06,Interpret,Motivational tone,Gemini,4,2,C_V4
C16,Q06,Interpret,Motivational tone,Flash,1,3,C_V4
C16,Q06,Interpret,Motivational tone,DeepSeek,2,4,C_V4
C16,Q07,Interpret,Constructiveness,Qwen,4,1,C_V4
C16,Q07,Interpret,Constructiveness,DeepSeek,2,2,C_V4
C16,Q07,Interpret,Constructiveness,Flash,3,3,C_V4
C16,Q07,Interpret,Constructiveness,Gemini,1,4,C_V4
C16,Q08,Interpret,Final choice,Qwen,3,1,C_V4
C16,Q08,Interpret,Final choice,Flash,2,2,C_V4
C16,Q08,Interpret,Final choice,Gemini,1,3,C_V4
C16,Q08,Interpret,Final choice,DeepSeek,4,4,C_V4
C17,Q01,Interpret,Fluency,Gemini,1,1,C_V4
C17,Q01,Interpret,Fluency,Flash,2,2,C_V4
C17,Q01,Interpret,Fluency,DeepSeek,3,3,C_V4
C17,Q01,Interpret,Fluency,Qwen,4,4,C_V4
C17,Q02,Interpret,Coherence,Qwen,1,1,C_V4
C17,Q02,Interpret,Coherence,Flash,2,2,C_V4
C17,Q02,Interpret,Coherence,Gemini,3,3,C_V4
C17,Q02,Interpret,Coherence,DeepSeek,4,4,C_V4
C17,Q03,Interpret,Conciseness,Gemini,3,1,C_V4
C17,Q03,Interpret,Conciseness,Flash,2,2,C_V4
C17,Q03,Interpret,Conciseness,Qwen,1,3,C_V4
C17,Q03,Interpret,Conciseness,DeepSeek,4,4,C_V4
C17,Q04,Interpret,Accuracy,Flash,1,1,C_V4
C17,Q04,Interpret,Accuracy,Qwen,2,2,C_V4
C17,Q05,Interpret,Sentiment match,Flash,2,1,C_V4
C17,Q05,Interpret,Sentiment match,Gemini,1,2,C_V4
C17,Q05,Interpret,Sentiment match,DeepSeek,4,3,C_V4
C17,Q05,Interpret,Sentiment match,Qwen,3,4,C_V4
C17,Q06,Interpret,Motivational tone,Qwen,3,1,C_V4
C17,Q06,Interpret,Motivational tone,DeepSeek,2,2,C_V4
C17,Q06,Interpret,Motivational tone,Flash,1,3,C_V4
C17,Q06,Interpret,Motivational tone,Gemini,4,4,C_V4
C17,Q07,Interpret,Constructiveness,DeepSeek,2,1,C_V4
C17,Q07,Interpret,Constructiveness,Qwen,3,2,C_V4
C17,Q07,Interpret,Constructiveness,Flash,4,3,C_V4
C17,Q07,Interpret,Constructiveness,Gemini,1,4,C_V4
C17,Q08,Interpret,Final choice,Qwen,1,1,C_V4
C17,Q08,Interpret,Final choice,Flash,3,2,C_V4
C17,Q08,Interpret,Final choice,Gemini,2,3,C_V4
C17,Q08,Interpret,Final choice,DeepSeek,4,4,C_V4
C5,Q01,Idea-to-Text,Fluency,Qwen,1,1,C_V4
C5,Q01,Idea-to-Text,Fluency,Gemini,3,2,C_V4
C5,Q01,Idea-to-Text,Fluency,DeepSeek,2,3,C_V4
C5,Q01,Idea-to-Text,Fluency,Flash,4,4,C_V4
C5,Q02,Idea-to-Text,Coherence,DeepSeek,1,1,C_V4
C5,Q02,Idea-to-Text,Coherence,Qwen,3,2,C_V4
C5,Q02,Idea-to-Text,Coherence,Flash,2,3,C_V4
C5,Q02,Idea-to-Text,Coherence,Gemini,4,4,C_V4
C5,Q03,Idea-to-Text,Conciseness,Qwen,3,1,C_V4
C5,Q03,Idea-to-Text,Conciseness,Gemini,2,2,C_V4
C5,Q03,Idea-to-Text,Conciseness,Flash,4,3,C_V4
C5,Q03,Idea-to-Text,Conciseness,DeepSeek,1,4,C_V4
C5,Q04,Idea-to-Text,Accuracy,Qwen,1,1,C_V4
C5,Q04,Idea-to-Text,Accuracy,Gemini,3,2,C_V4
C5,Q05,Idea-to-Text,Sentiment match,DeepSeek,3,1,C_V4
C5,Q05,Idea-to-Text,Sentiment match,Qwen,4,2,C_V4
C5,Q05,Idea-to-Text,Sentiment match,Gemini,2,3,C_V4
C5,Q05,Idea-to-Text,Sentiment match,Flash,1,4,C_V4
C5,Q06,Idea-to-Text,Motivational tone,DeepSeek,4,1,C_V4
C5,Q06,Idea-to-Text,Motivational tone,Gemini,3,2,C_V4
C5,Q06,Idea-to-Text,Motivational tone,Flash,1,3,C_V4
C5,Q06,Idea-to-Text,Motivational tone,Qwen,2,4,C_V4
C5,Q07,Idea-to-Text,Constructiveness,Flash,3,1,C_V4
C5,Q07,Idea-to-Text,Constructiveness,DeepSeek,1,2,C_V4
C5,Q07,Idea-to-Text,Constructiveness,Qwen,2,3,C_V4
C5,Q07,Idea-to-Text,Constructiveness,Gemini,4,4,C_V4
C5,Q08,Idea-to-Text,Final choice,Flash,3,1,C_V4
C5,Q08,Idea-to-Text,Final choice,DeepSeek,4,2,C_V4
C5,Q08,Idea-to-Text,Final choice,Qwen,1,3,C_V4
C5,Q08,Idea-to-Text,Final choice,Gemini,2,4,C_V4
C6,Q01,Idea-to-Text,Fluency,DeepSeek,1,1,C_V4
C6,Q01,Idea-to-Text,Fluency,Gemini,3,2,C_V4
C6,Q01,Idea-to-Text,Fluency,Qwen,4,3,C_V4
C6,Q01,Idea-to-Text,Fluency,Flash,2,4,C_V4
C6,Q02,Idea-to-Text,Coherence,DeepSeek,1,1,C_V4
C6,Q02,Idea-to-Text,Coherence,Gemini,4,2,C_V4
C6,Q02,Idea-to-Text,Coherence,Qwen,2,3,C_V4
C6,Q02,Idea-to-Text,Coherence,Flash,3,4,C_V4
C6,Q03,Idea-to-Text,Conciseness,DeepSeek,3,1,C_V4
C6,Q03,Idea-to-Text,Conciseness,Gemini,2,2,C_V4
C6,Q03,Idea-to-Text,Conciseness,Qwen,1,3,C_V4
C6,Q03,Idea-to-Text,Conciseness,Flash,4,4,C_V4
C6,Q04,Idea-to-Text,Accuracy,DeepSeek,2,1,C_V4
C6,Q04,Idea-to-Text,Accuracy,Flash,3,2,C_V4
C6,Q05,Idea-to-Text,Sentiment match,DeepSeek,4,1,C_V4
C6,Q05,Idea-to-Text,Sentiment match,Qwen,1,2,C_V4
C6,Q05,Idea-to-Text,Sentiment match,Flash,2,3,C_V4
C6,Q05,Idea-to-Text,Sentiment match,Gemini,3,4,C_V4
C6,Q06,Idea-to-Text,Motivational tone,DeepSeek,1,1,C_V4
C6,Q06,Idea-to-Text,Motivational tone,Gemini,3,2,C_V4
C6,Q06,Idea-to-Text,Motivational tone,Qwen,2,3,C_V4
C6,Q06,Idea-to-Text,Motivational tone,Flash,4,4,C_V4
C6,Q07,Idea-to-Text,Constructiveness,DeepSeek,1,1,C_V4
C6,Q07,Idea-to-Text,Constructiveness,Gemini,4,2,C_V4
C6,Q07,Idea-to-Text,Constructiveness,Qwen,2,3,C_V4
C6,Q07,Idea-to-Text,Constructiveness,Flash,3,4,C_V4
C6,Q08,Idea-to-Text,Final choice,Gemini,1,1,C_V4
C6,Q08,Idea-to-Text,Final choice,DeepSeek,2,2,C_V4
C6,Q08,Idea-to-Text,Final choice,Flash,3,3,C_V4
C6,Q08,Idea-to-Text,Final choice,Qwen,4,4,C_V4
C8,Q01,Summarise,Fluency,Qwen,2,1,C_V4
C8,Q01,Summarise,Fluency,Gemini,1,2,C_V4
C8,Q01,Summarise,Fluency,Flash,4,3,C_V4
C8,Q01,Summarise,Fluency,DeepSeek,3,4,C_V4
C8,Q02,Summarise,Coherence,Qwen,1,1,C_V4
C8,Q02,Summarise,Coherence,Gemini,2,2,C_V4
C8,Q02,Summarise,Coherence,Flash,4,3,C_V4
C8,Q02,Summarise,Coherence,DeepSeek,3,4,C_V4
C8,Q03,Summarise,Conciseness,Flash,3,1,C_V4
C8,Q03,Summarise,Conciseness,Gemini,2,2,C_V4
C8,Q03,Summarise,Conciseness,Qwen,1,3,C_V4
C8,Q03,Summarise,Conciseness,DeepSeek,4,4,C_V4
C8,Q04,Summarise,Accuracy,Qwen,1,1,C_V4
C8,Q04,Summarise,Accuracy,Flash,3,2,C_V4
C8,Q05,Summarise,Sentiment match,Gemini,1,1,C_V4
C8,Q05,Summarise,Sentiment match,Flash,2,2,C_V4
C8,Q05,Summarise,Sentiment match,Qwen,4,3,C_V4
C8,Q05,Summarise,Sentiment match,DeepSeek,3,4,C_V4
C8,Q06,Summarise,Motivational tone,Qwen,3,1,C_V4
C8,Q06,Summarise,Motivational tone,Flash,4,2,C_V4
C8,Q06,Summarise,Motivational tone,Gemini,2,3,C_V4
C8,Q06,Summarise,Motivational tone,DeepSeek,1,4,C_V4
C8,Q07,Summarise,Constructiveness,Qwen,1,1,C_V4
C8,Q07,Summarise,Constructiveness,Flash,3,2,C_V4
C8,Q07,Summarise,Constructiveness,Gemini,4,3,C_V4
C8,Q07,Summarise,Constructiveness,DeepSeek,2,4,C_V4
C8,Q08,Summarise,Final choice,Flash,1,1,C_V4
C8,Q08,Summarise,Final choice,Gemini,2,2,C_V4
C8,Q08,Summarise,Final choice,Qwen,3,3,C_V4
C8,Q08,Summarise,Final choice,DeepSeek,4,4,C_V4
