task_id,prompt_label,candidate_index,model
B9,B9_Q03_Conciseness,3,Flash
B9,B9_Q03_Conciseness,4,DeepSeek
B9,B9_Q04_Accuracy,1,Qwen
B9,B9_Q04_Accuracy,2,DeepSeek
B9,B9_Q04_Accuracy,3,Flash
B9,B9_Q04_Accuracy,4,Gemini
B9,B9_Q05_Sentimentmatch,1,Gemini
B9,B9_Q05_Sentimentmatch,2,Flash
B9,B9_Q05_Sentimentmatch,3,DeepSeek
B9,B9_Q05_Sentimentmatch,4,Qwen
B9,B9_Q06_Motivationaltone,1,DeepSeek
B9,B9_Q06_Motivationaltone,2,Gemini
B9,B9_Q06_Motivationaltone,3,Qwen
B9,B9_Q06_Motivationaltone,4,Flash
B9,B9_Q07_Constructiveness,1,Qwen
B9,B9_Q07_Constructiveness,2,DeepSeek
B9,B9_Q07_Constructiveness,3,Flash
B9,B9_Q07_Constructiveness,4,Gemini
B9,B9_Q08_Finalchoice,1,Flash
B9,B9_Q08_Finalchoice,2,Gemini
B9,B9_Q08_Finalchoice,3,Qwen
B9,B9_Q08_Finalchoice,4,DeepSeek
B11,B11_Q01_Fluency,1,Flash
B11,B11_Q01_Fluency,2,Gemini
B11,B11_Q01_Fluency,3,DeepSeek
B11,B11_Q01_Fluency,4,Qwen
B11,B11_Q02_Coherence,1,Qwen
B11,B11_Q02_Coherence,2,DeepSeek
B11,B11_Q02_Coherence,3,Flash
B11,B11_Q02_Coherence,4,Gemini
B11,B11_Q03_Conciseness,1,Gemini
B11,B11_Q03_Conciseness,2,DeepSeek
B11,B11_Q03_Conciseness,3,Qwen
B11,B11_Q03_Conciseness,4,Flash
B11,B11_Q04_Accuracy,1,Gemini
B11,B11_Q04_Accuracy,2,DeepSeek
B11,B11_Q04_Accuracy,3,Flash
B11,B11_Q04_Accuracy,4,Qwen
B11,B11_Q05_Sentimentmatch,1,Flash
B11,B11_Q05_Sentimentmatch,2,DeepSeek
B11,B11_Q05_Sentimentmatch,3,Qwen
B11,B11_Q05_Sentimentmatch,4,Gemini
B11,B11_Q06_Motivationaltone,1,DeepSeek
B11,B11_Q06_Motivationaltone,2,Gemini
B11,B11_Q06_Motivationaltone,3,Flash
B11,B11_Q06_Motivationaltone,4,Qwen
B11,B11_Q07_Constructiveness,1,Qwen
B11,B11_Q07_Constructiveness,2,DeepSeek
B11,B11_Q07_Constructiveness,3,Flash
B11,B11_Q07_Constructiveness,4,Gemini
B11,B11_Q08_Finalchoice,1,Gemini
B11,B11_Q08_Finalchoice,2,Flash
B11,B11_Q08_Finalchoice,3,DeepSeek
B11,B11_Q08_Finalchoice,4,Qwen
B17,B17_Q01_Fluency,1,Qwen
B17,B17_Q01_Fluency,2,DeepSeek
B17,B17_Q01_Fluency,3,Gemini
B17,B17_Q01_Fluency,4,Flash
B17,B17_Q02_Coherence,1,DeepSeek
B17,B17_Q02_Coherence,2,Qwen
B17,B17_Q02_Coherence,3,Gemini
B17,B17_Q02_Coherence,4,Flash
B17,B17_Q03_Conciseness,1,DeepSeek
B17,B17_Q03_Conciseness,2,Flash
B17,B17_Q03_Conciseness,3,Gemini
B17,B17_Q03_Conciseness,4,Qwen
B17,B17_Q04_Accuracy,1,DeepSeek
B17,B17_Q04_Accuracy,2,Qwen
B17,B17_Q04_Accuracy,3,Gemini
B17,B17_Q04_Accuracy,4,Flash
B17,B17_Q05_Sentimentmatch,1,Gemini
B17,B17_Q05_Sentimentmatch,2,Flash
B17,B17_Q05_Sentimentmatch,3,DeepSeek
B17,B17_Q05_Sentimentmatch,4,Qwen
B17,B17_Q06_Motivationaltone,1,Flash
B17,B17_Q06_Motivationaltone,2,DeepSeek
B17,B17_Q06_Motivationaltone,3,Qwen
B17,B17_Q06_Motivationaltone,4,Gemini
B17,B17_Q07_Constructiveness,1,Gemini
B17,B17_Q07_Constructiveness,2,DeepSeek
B17,B17_Q07_Constructiveness,3,Flash
B17,B17_Q07_Constructiveness,4,Qwen
B17,B17_Q08_Finalchoice,1,Gemini
B17,B17_Q08_Finalchoice,2,Flash
B17,B17_Q08_Finalchoice,3,Qwen
B17,B17_Q08_Finalchoice,4,DeepSeek
B18,B18_Q01_Fluency,1,Gemini
B18,B18_Q01_Fluency,2,Flash
B18,B18_Q01_Fluency,3,DeepSeek
B18,B18_Q01_Fluency,4,Qwen
B18,B18_Q02_Coherence,1,Qwen
B18,B18_Q02_Coherence,2,Flash
B18,B18_Q02_Coherence,3,Gemini
B18,B18_Q02_Coherence,4,DeepSeek
B18,B18_Q03_Conciseness,1,Qwen
B18,B18_Q03_Conciseness,2,Flash
B18,B18_Q03_Conciseness,3,Gemini
B18,B18_Q03_Conciseness,4,DeepSeek
B18,B18_Q04_Accuracy,1,Flash
B18,B18_Q04_Accuracy,2,Qwen
B18,B18_Q04_Accuracy,3,Gemini
B18,B18_Q04_Accuracy,4,DeepSeek
B18,B18_Q05_Sentimentmatch,1,Gemini
B18,B18_Q05_Sentimentmatch,2,Flash
B18,B18_Q05_Sentimentmatch,3,Qwen
B18,B18_Q05_Sentimentmatch,4,DeepSeek
B18,B18_Q06_Motivationaltone,1,Flash
B18,B18_Q06_Motivationaltone,2,DeepSeek
B18,B18_Q06_Motivationaltone,3,Qwen
B18,B18_Q06_Motivationaltone,4,Gemini
B18,B18_Q07_Constructiveness,1,Gemini
B18,B18_Q07_Constructiveness,2,DeepSeek
B18,B18_Q07_Constructiveness,3,Qwen
B18,B18_Q07_Constructiveness,4,Flash
B18,B18_Q08_Finalchoice,1,Qwen
B18,B18_Q08_Finalchoice,2,Gemini
B18,B18_Q08_Finalchoice,3,Flash
B18,B18_Q08_Finalchoice,4,DeepSeek
