form_id,question_id,criterion,candidate_index,model_name,rank
A-Volunteer1|Idea-to-Text|A1|Q07,Q07,Constructiveness,4,Gemini,4
A-Volunteer1|Idea-to-Text|A5|Q07,Q07,Constructiveness,4,Gemini,4
A-Volunteer1|Summarise|A9|Q07,Q07,Constructiveness,2,DeepSeek,4
A-Volunteer1|Summarise|A10|Q07,Q07,Constructiveness,2,DeepSeek,4
A-Volunteer1|Interpret|A15|Q07,Q07,Constructiveness,1,Gemini,4
A-Volunteer1|Interpret|A17|Q07,Q07,Constructiveness,4,Flash,4
A-Volunteer1|Idea-to-Text|A1|Q08,Q08,Final choice,3,Flash,1
A-Volunteer1|Idea-to-Text|A5|Q08,Q08,Final choice,3,Flash,1
A-Volunteer1|Summarise|A9|Q08,Q08,Final choice,2,Gemini,1
A-Volunteer1|Interpret|A15|Q08,Q08,Final choice,3,Qwen,1
A-Volunteer1|Interpret|A17|Q08,Q08,Final choice,1,Qwen,1
A-Volunteer1|Idea-to-Text|A1|Q08,Q08,Final choice,4,DeepSeek,2
A-Volunteer1|Idea-to-Text|A5|Q08,Q08,Final choice,2,DeepSeek,2
A-Volunteer1|Summarise|A9|Q08,Q08,Final choice,3,Qwen,2
A-Volunteer1|Interpret|A15|Q08,Q08,Final choice,2,Flash,2
A-Volunteer1|Interpret|A17|Q08,Q08,Final choice,2,Gemini,2
A-Volunteer1|Idea-to-Text|A1|Q08,Q08,Final choice,1,Qwen,3
A-Volunteer1|Idea-to-Text|A5|Q08,Q08,Final choice,4,Qwen,3
A-Volunteer1|Summarise|A9|Q08,Q08,Final choice,1,Flash,3
A-Volunteer1|Interpret|A15|Q08,Q08,Final choice,4,DeepSeek,3
A-Volunteer1|Interpret|A17|Q08,Q08,Final choice,4,DeepSeek,3
A-Volunteer1|Idea-to-Text|A1|Q08,Q08,Final choice,2,Gemini,4
A-Volunteer1|Idea-to-Text|A5|Q08,Q08,Final choice,1,Gemini,4
A-Volunteer1|Summarise|A9|Q08,Q08,Final choice,4,DeepSeek,4
A-Volunteer1|Interpret|A15|Q08,Q08,Final choice,1,Gemini,4
A-Volunteer1|Interpret|A17|Q08,Q08,Final choice,3,Flash,4
