scope,evaluator_id,group,task_type,criterion,std_beta,N,note
EVALUATOR_TASK,a5,A,Idea-to-Text,Coherence,,8,insufficient_data
EVALUATOR_TASK,a5,A,Idea-to-Text,Conciseness,,8,insufficient_data
EVALUATOR_TASK,a1,A,Interpret,Fluency,,8,insufficient_data
EVALUATOR_TASK,a1,A,Interpret,Coherence,,8,insufficient_data
EVALUATOR_TASK,a1,A,Interpret,Conciseness,,8,insufficient_data
EVALUATOR_TASK,a2,A,Interpret,Fluency,,4,insufficient_data
EVALUATOR_TASK,a2,A,Interpret,Coherence,,4,insufficient_data
EVALUATOR_TASK,a2,A,Interpret,Conciseness,,4,insufficient_data
EVALUATOR_TASK,a3,A,Interpret,Fluency,,8,insufficient_data
EVALUATOR_TASK,a3,A,Interpret,Coherence,,8,insufficient_data
EVALUATOR_TASK,a3,A,Interpret,Conciseness,,8,insufficient_data
EVALUATOR_TASK,a4,A,Interpret,Fluency,,5,insufficient_data
EVALUATOR_TASK,a4,A,Interpret,Coherence,,5,insufficient_data
EVALUATOR_TASK,a4,A,Interpret,Conciseness,,5,insufficient_data
EVALUATOR_TASK,a5,A,Interpret,Fluency,,7,insufficient_data
EVALUATOR_TASK,a5,A,Interpret,Coherence,,7,insufficient_data
EVALUATOR_TASK,a5,A,Interpret,Conciseness,,7,insufficient_data
EVALUATOR_TASK,a1,A,Summarise,Fluency,,7,insufficient_data
EVALUATOR_TASK,a1,A,Summarise,Coherence,,7,insufficient_data
EVALUATOR_TASK,a1,A,Summarise,Conciseness,,7,insufficient_data
EVALUATOR_TASK,a2,A,Summarise,Fluency,,7,insufficient_data
EVALUATOR_TASK,a2,A,Summarise,Coherence,,7,insufficient_data
EVALUATOR_TASK,a2,A,Summarise,Conciseness,,7,insufficient_data
EVALUATOR_TASK,a3,A,Summarise,Fluency,,8,insufficient_data
EVALUATOR_TASK,a3,A,Summarise,Coherence,,8,insufficient_data
EVALUATOR_TASK,a3,A,Summarise,Conciseness,,8,insufficient_data
EVALUATOR_TASK,a4,A,Summarise,Fluency,,6,insufficient_data
EVALUATOR_TASK,a4,A,Summarise,Coherence,,6,insufficient_data
EVALUATOR_TASK,a4,A,Summarise,Conciseness,,6,insufficient_data
EVALUATOR_TASK,a5,A,Summarise,Fluency,,7,insufficient_data
EVALUATOR_TASK,a5,A,Summarise,Coherence,,7,insufficient_data
EVALUATOR_TASK,a5,A,Summarise,Conciseness,,7,insufficient_data
EVALUATOR_TASK,b1,B,Idea-to-Text,Fluency,,7,insufficient_data
EVALUATOR_TASK,b1,B,Idea-to-Text,Coherence,,7,insufficient_data
EVALUATOR_TASK,b1,B,Idea-to-Text,Conciseness,,7,insufficient_data
EVALUATOR_TASK,b2,B,Idea-to-Text,Fluency,,6,insufficient_data
EVALUATOR_TASK,b2,B,Idea-to-Text,Coherence,,6,insufficient_data
EVALUATOR_TASK,b2,B,Idea-to-Text,Conciseness,,6,insufficient_data
EVALUATOR_TASK,b3,B,Idea-to-Text,Fluency,,8,insufficient_data
EVALUATOR_TASK,b3,B,Idea-to-Text,Coherence,,8,insufficient_data
EVALUATOR_TASK,b3,B,Idea-to-Text,Conciseness,,8,insufficient_data
EVALUATOR_TASK,b4,B,Idea-to-Text,Fluency,,4,insufficient_data
EVALUATOR_TASK,b4,B,Idea-to-Text,Coherence,,4,insufficient_data
EVALUATOR_TASK,b4,B,Idea-to-Text,Conciseness,,4,insufficient_data
EVALUATOR_TASK,b5,B,Idea-to-Text,Fluency,,8,insufficient_data
EVALUATOR_TASK,b5,B,Idea-to-Text,Coherence,,8,insufficient_data
EVALUATOR_TASK,b5,B,Idea-to-Text,Conciseness,,8,insufficient_data
EVALUATOR_TASK,b1,B,Interpret,Fluency,,8,insufficient_data
EVALUATOR_TASK,b1,B,Interpret,Coherence,,8,insufficient_data
EVALUATOR_TASK,b1,B,Interpret,Conciseness,,8,insufficient_data
EVALUATOR_TASK,b2,B,Interpret,Fluency,,4,insufficient_data
EVALUATOR_TASK,b2,B,Interpret,Coherence,,4,insufficient_data
EVALUATOR_TASK,b2,B,Interpret,Conciseness,,4,insufficient_data
EVALUATOR_TASK,b3,B,Interpret,Fluency,,4,insufficient_data
EVALUATOR_TASK,b3,B,Interpret,Coherence,,4,insufficient_data
EVALUATOR_TASK,b3,B,Interpret,Conciseness,,4,insufficient_data
EVALUATOR_TASK,b4,B,Interpret,Fluency,,7,insufficient_data
EVALUATOR_TASK,b4,B,Interpret,Coherence,,7,insufficient_data
EVALUATOR_TASK,b4,B,Interpret,Conciseness,,7,insufficient_data
EVALUATOR_TASK,b5,B,Interpret,Fluency,,8,insufficient_data
EVALUATOR_TASK,b5,B,Interpret,Coherence,,8,insufficient_data
EVALUATOR_TASK,b5,B,Interpret,Conciseness,,8,insufficient_data
EVALUATOR_TASK,b1,B,Summarise,Fluency,,7,insufficient_data
EVALUATOR_TASK,b1,B,Summarise,Coherence,,7,insufficient_data
EVALUATOR_TASK,b1,B,Summarise,Conciseness,,7,insufficient_data
EVALUATOR_TASK,b2,B,Summarise,Fluency,,6,insufficient_data
EVALUATOR_TASK,b2,B,Summarise,Coherence,,6,insufficient_data
EVALUATOR_TASK,b2,B,Summarise,Conciseness,,6,insufficient_data
EVALUATOR_TASK,b3,B,Summarise,Fluency,,5,insufficient_data
EVALUATOR_TASK,b3,B,Summarise,Coherence,,5,insufficient_data
EVALUATOR_TASK,b3,B,Summarise,Conciseness,,5,insufficient_data
EVALUATOR_TASK,b4,B,Summarise,Fluency,,7,insufficient_data
EVALUATOR_TASK,b4,B,Summarise,Coherence,,7,insufficient_data
EVALUATOR_TASK,b4,B,Summarise,Conciseness,,7,insufficient_data
EVALUATOR_TASK,b5,B,Summarise,Fluency,,4,insufficient_data
EVALUATOR_TASK,b5,B,Summarise,Coherence,,4,insufficient_data
EVALUATOR_TASK,b5,B,Summarise,Conciseness,,4,insufficient_data
EVALUATOR_TASK,c1,C,Idea-to-Text,Fluency,,8,insufficient_data
EVALUATOR_TASK,c1,C,Idea-to-Text,Coherence,,8,insufficient_data
EVALUATOR_TASK,c1,C,Idea-to-Text,Conciseness,,8,insufficient_data
EVALUATOR_TASK,c3,C,Idea-to-Text,Fluency,,8,insufficient_data
EVALUATOR_TASK,c3,C,Idea-to-Text,Coherence,,8,insufficient_data
EVALUATOR_TASK,c3,C,Idea-to-Text,Conciseness,,8,insufficient_data
EVALUATOR_TASK,c4,C,Idea-to-Text,Fluency,,5,insufficient_data
EVALUATOR_TASK,c4,C,Idea-to-Text,Coherence,,5,insufficient_data
EVALUATOR_TASK,c4,C,Idea-to-Text,Conciseness,,5,insufficient_data
EVALUATOR_TASK,c5,C,Idea-to-Text,Fluency,,3,insufficient_data
EVALUATOR_TASK,c5,C,Idea-to-Text,Coherence,,3,insufficient_data
EVALUATOR_TASK,c5,C,Idea-to-Text,Conciseness,,3,insufficient_data
EVALUATOR_TASK,c1,C,Interpret,Fluency,,4,insufficient_data
EVALUATOR_TASK,c1,C,Interpret,Coherence,,4,insufficient_data
EVALUATOR_TASK,c1,C,Interpret,Conciseness,,4,insufficient_data
EVALUATOR_TASK,c2,C,Interpret,Fluency,,8,insufficient_data
EVALUATOR_TASK,c2,C,Interpret,Coherence,,8,insufficient_data
EVALUATOR_TASK,c2,C,Interpret,Conciseness,,8,insufficient_data
EVALUATOR_TASK,c3,C,Interpret,Fluency,,3,insufficient_data
EVALUATOR_TASK,c3,C,Interpret,Coherence,,3,insufficient_data
EVALUATOR_TASK,c3,C,Interpret,Conciseness,,3,insufficient_data
EVALUATOR_TASK,c4,C,Interpret,Fluency,,5,insufficient_data
EVALUATOR_TASK,c4,C,Interpret,Coherence,,5,insufficient_data
EVALUATOR_TASK,c4,C,Interpret,Conciseness,,5,insufficient_data
EVALUATOR_TASK,c5,C,Interpret,Fluency,,5,insufficient_data
EVALUATOR_TASK,c5,C,Interpret,Coherence,,5,insufficient_data
EVALUATOR_TASK,c5,C,Interpret,Conciseness,,5,insufficient_data
EVALUATOR_TASK,c1,C,Summarise,Fluency,,7,insufficient_data
EVALUATOR_TASK,c1,C,Summarise,Coherence,,7,insufficient_data
EVALUATOR_TASK,c1,C,Summarise,Conciseness,,7,insufficient_data
EVALUATOR_TASK,c3,C,Summarise,Fluency,,6,insufficient_data
EVALUATOR_TASK,c3,C,Summarise,Coherence,,6,insufficient_data
EVALUATOR_TASK,c3,C,Summarise,Conciseness,,6,insufficient_data
EVALUATOR_TASK,c4,C,Summarise,Fluency,,6,insufficient_data
EVALUATOR_TASK,c4,C,Summarise,Coherence,,6,insufficient_data
EVALUATOR_TASK,c4,C,Summarise,Conciseness,,6,insufficient_data
EVALUATOR_TASK,c5,C,Summarise,Fluency,,6,insufficient_data
EVALUATOR_TASK,c5,C,Summarise,Coherence,,6,insufficient_data
EVALUATOR_TASK,c5,C,Summarise,Conciseness,,6,insufficient_data
GROUP,ALL,A,ALL,Coherence,0.3746789945483209,97,
GROUP,ALL,A,ALL,Constructiveness,0.31760707191689697,97,
GROUP,ALL,A,ALL,Fluency,0.2893378553616869,97,
GROUP,ALL,B,ALL,Constructiveness,0.39945117490763077,93,
GROUP,ALL,B,ALL,Coherence,0.25223470595619374,93,
GROUP,ALL,B,ALL,Fluency,0.2510654064084914,93,
GROUP,ALL,C,ALL,Motivational,0.2896858873363269,74,
GROUP,ALL,C,ALL,Fluency,0.18485839151508335,74,
GROUP,ALL,C,ALL,Conciseness,0.15195033996827845,74,
GROUP_TASK,ALL,A,Idea-to-Text,Coherence,0.3641519062429038,30,
GROUP_TASK,ALL,A,Idea-to-Text,Fluency,0.3557232121148482,30,
GROUP_TASK,ALL,A,Idea-to-Text,Constructiveness,0.201575839224554,30,
GROUP_TASK,ALL,A,Interpret,Constructiveness,0.4285388575407286,32,
GROUP_TASK,ALL,A,Interpret,Coherence,0.3299397018462721,32,
GROUP_TASK,ALL,A,Interpret,Fluency,0.21284492711657904,32,
GROUP_TASK,ALL,A,Summarise,Constructiveness,0.3655623172087612,35,
GROUP_TASK,ALL,A,Summarise,Coherence,0.3494019110969271,35,
GROUP_TASK,ALL,A,Summarise,Fluency,0.28287336000774044,35,
GROUP_TASK,ALL,B,Idea-to-Text,Constructiveness,0.782383385532422,33,
GROUP_TASK,ALL,B,Idea-to-Text,Coherence,0.35968594306339496,33,
GROUP_TASK,ALL,B,Idea-to-Text,Conciseness,0.26630582152304394,33,
GROUP_TASK,ALL,B,Interpret,Constructiveness,0.5128073572690023,31,
GROUP_TASK,ALL,B,Interpret,Sentiment,0.3832092546436846,31,
GROUP_TASK,ALL,B,Interpret,Motivational,0.35969650311712903,31,
GROUP_TASK,ALL,B,Summarise,Coherence,0.44841254981967477,29,
GROUP_TASK,ALL,B,Summarise,Fluency,0.20010057120158387,29,
GROUP_TASK,ALL,B,Summarise,Constructiveness,0.1947994843387639,29,
GROUP_TASK,ALL,C,Idea-to-Text,Motivational,0.3623860825027224,24,
GROUP_TASK,ALL,C,Idea-to-Text,Sentiment,0.2934260027525045,24,
GROUP_TASK,ALL,C,Idea-to-Text,Accuracy,0.26298041008483036,24,
GROUP_TASK,ALL,C,Interpret,Motivational,0.4045441078384725,25,
GROUP_TASK,ALL,C,Interpret,Coherence,0.22544637683354118,25,
GROUP_TASK,ALL,C,Interpret,Accuracy,0.18009627135275877,25,
GROUP_TASK,ALL,C,Summarise,Fluency,0.46863975440759187,25,
GROUP_TASK,ALL,C,Summarise,Constructiveness,0.4342336402765355,25,
GROUP_TASK,ALL,C,Summarise,Conciseness,0.4005158588897806,25,
TASK,ALL,ALL,Idea-to-Text,Coherence,0.382954068349022,87,
TASK,ALL,ALL,Idea-to-Text,Constructiveness,0.23776735675989263,87,
TASK,ALL,ALL,Idea-to-Text,Motivational,0.15702602435458785,87,
TASK,ALL,ALL,Interpret,Constructiveness,0.27184097747309555,88,
TASK,ALL,ALL,Interpret,Motivational,0.21459422806866543,88,
TASK,ALL,ALL,Interpret,Coherence,0.19969546700389168,88,
TASK,ALL,ALL,Summarise,Constructiveness,0.37706695855780337,89,
TASK,ALL,ALL,Summarise,Fluency,0.35084346201386885,89,
TASK,ALL,ALL,Summarise,Coherence,0.13769332728457148,89,
