"Model","Category","Statistics","word_count","token_count","bleu_1","bleu_2","bleu_3","bleu_4","rouge_l_precision","rouge_l_recall","rouge_l_f1","lexical_diversity","length_ratio","distinct_1","distinct_2","bert_precision","bert_recall","bert_f1"
"","Interpret","AVG","44.333333333333336","44.333333333333336","0.16091360643922734","0.04539957507332217","0.017350949771983468","0.009019101317691154","0.21417019769493736","0.157492908485705","0.17553714689477964","0.8564899254773151","0.7733212070652686","0.8564899254773151","0.9952750092284974","0.8806502223014823","0.8764785309632613","0.8784797847270963"
"","","STDEV.S","2.335237318418265","2.335237318418265","0.01832550521850029","0.010568259339447455","0.0012433070455830173","0.0005517026847099177","0.01956606764604796","0.017227823622933347","0.015302973300582981","0.035489713027315455","0.05493647956041228","0.035489713027315455","0.0047623339750080245","0.004170427138246775","0.006401024892957094","0.00460897404818519"
"","Summarise","AVG","22.766666666666666","22.766666666666666","0.16725281656273702","0.10510503446903403","0.06990118754129097","0.05266626677206407","0.48191855208102297","0.22739654512218332","0.3005168395322257","0.9413603425559943","0.46565410733988033","0.9413603425559943","0.994191919191919","0.9259542942047118","0.892110500733057","0.908674373229344"
"","","STDEV.S","0.7571877794400382","0.7571877794400382","0.06863744541625628","0.06533817236942357","0.0638141064600595","0.057810856129329215","0.08125814402532623","0.07503967309095677","0.08264505361902527","0.018260506256521473","0.06241853555505414","0.018260506256521473","0.010059891054061982","0.011387145191499812","0.012261803965870755","0.011838950023541461"
"","TOTAL","AVG","33.03333333333333","33.03333333333333","0.1520480905821441","0.0662412926067479","0.037886079482132934","0.02578198384773952","0.31011023238352675","0.3101931064325845","0.2677685026436538","0.8975449159340011","1.2391870570205152","0.8975449159340011","0.9964889761401388","0.8985254976484508","0.8933090700043564","0.8957145690917966"
"","","STDEV.S","9.452909604984066","9.452909604984066","0.04190179265757273","0.044616644603112654","0.040541846073646276","0.03542647962850846","0.13617041159538698","0.1845173148317533","0.0830207796203447","0.043116812528176826","0.9407904508618736","0.043116812528176826","0.0061744927960677995","0.02184550086261485","0.01688634536478498","0.015067604123470175"
"Qwen","Idea-to-Text","AVG","42.9","42.9","0.15583079056832397","0.0759672463012276","0.03728537664127267","0.01949807059789437","0.22331066937980035","0.655177045177045","0.32933407368734763","0.8917556758077837","3.309784657218593","0.8917556758077837","0.9988700564971751","0.8898628612359359","0.929760001103083","0.9093260884284966"
"","","STDEV.S","4.026164427839476","4.026164427839476","0.014780952418617427","0.0185202116432677","0.007621267303364507","0.004553609016917339","0.019768473484279542","0.016669537784875812","0.02597775768613706","0.023419261220737755","0.3202906364984818","0.023419261220737755","0.0019571195565752124","0.004402094408050372","0.005261305254519446","0.004393608660929596"
"","Interpret","AVG","85.23333333333333","85.23333333333333","0.20474328318354065","0.06630789167691549","0.02986584024629227","0.016564390360691367","0.15523570005496767","0.21630650486845268","0.17717992347966935","0.827201337410528","1.4124267004673465","0.827201337410528","0.996626183064091","0.8587997913360589","0.8851157148679091","0.8716737608114874"
"","","STDEV.S","5.877357682950166","5.877357682950166","0.0272429894306819","0.021435582722178426","0.009657335134176902","0.006989294843074797","0.013965035654538856","0.020850680270779038","0.014592800841175278","0.0072623274415595015","0.12150518969531753","0.0072623274415595015","0.0013910850466842864","0.0028683491046475607","0.005531146393759223","0.0024687402813794324"
"","Summarise","AVG","30.26666666666667","30.26666666666667","0.20762396032659","0.13075538346158933","0.07859841185229931","0.0479931179717956","0.4357855745929687","0.2576505936166827","0.32045734161018363","0.9300001844099836","0.5784765767683516","0.9300001844099836","0.998148148148148","0.9189146300156911","0.900047123432159","0.9093608438968653"
"","","STDEV.S","1.604161255402129","1.604161255402129","0.012099171237785714","0.017399462536767902","0.02655343029294401","0.027331227852729158","0.03596122557356255","0.01785078323197246","0.023597206359983403","0.006151756666836564","0.04541146883437123","0.006151756666836564","0.0032075014954981657","0.004789792040615512","0.007396079296489066","0.005756026309452097"
"","TOTAL","AVG","52.8","52.8","0.18939934469281822","0.09101017381324414","0.04858320957995475","0.02801852631012711","0.2714439813425789","0.37637804788739343","0.2756571129257335","0.8829857325427651","1.7668959781514308","0.8829857325427651","0.9978814625698047","0.8891924275292288","0.9049742798010504","0.8967868977122831"
"","","STDEV.S","25.198462254669433","25.198462254669433","0.03020214523127983","0.034385625244487655","0.027040582762417772","0.0207409689704591","0.12857199729926494","0.21047758614481124","0.07636044796023962","0.04673810356752791","1.2244543409261939","0.04673810356752791","0.0022354948608782656","0.02627691322584069","0.020386478850541952","0.01921937773264326"
