judge,task_type,criterion,winner_score,winner,is_tie_for_first,top_models
Gemini,Summary,Final choice,0.5333333333,Flash,True,"Flash,Qwen"
Gemini,Summary,Fluency,0.6444444444,DeepSeek,False,DeepSeek
Gemini,Summary,Motivational tone,0.5222222222,Flash,True,"Flash,Qwen"
Gemini,Summary,Sentiment match,0.6333333333,Gemini,False,Gemini
Qwen,Idea-to-Text,Accuracy,1.0,Qwen,False,Qwen
Qwen,Idea-to-Text,Coherence,0.5888888889,Flash,False,Flash
Qwen,Idea-to-Text,Conciseness,0.4888888889,Gemini,False,Gemini
Qwen,Idea-to-Text,Constructiveness,0.4777777778,Qwen,False,Qwen
Qwen,Idea-to-Text,Final choice,0.7111111111,Qwen,False,Qwen
Qwen,Idea-to-Text,Fluency,0.7888888889,Qwen,False,Qwen
Qwen,Idea-to-Text,Motivational tone,0.2777777778,Flash,False,Flash
Qwen,Idea-to-Text,Sentiment match,0.9555555556,Gemini,False,Gemini
Qwen,Interpret,Accuracy,0.6444444444,Qwen,False,Qwen
Qwen,Interpret,Coherence,0.9777777778,Qwen,False,Qwen
Qwen,Interpret,Conciseness,0.2555555556,Qwen,False,Qwen
Qwen,Interpret,Constructiveness,0.8333333333,Flash,True,"Flash,Qwen"
Qwen,Interpret,Final choice,0.9777777778,Qwen,False,Qwen
Qwen,Interpret,Fluency,0.9222222222,Qwen,False,Qwen
Qwen,Interpret,Motivational tone,0.9555555556,Qwen,False,Qwen
Qwen,Interpret,Sentiment match,0.9222222222,Qwen,False,Qwen
Qwen,Summary,Accuracy,0.5,Flash,True,"Flash,Gemini,Qwen"
Qwen,Summary,Coherence,0.9888888889,Flash,False,Flash
Qwen,Summary,Conciseness,0.4222222222,DeepSeek,False,DeepSeek
Qwen,Summary,Constructiveness,1.0,DeepSeek,False,DeepSeek
Qwen,Summary,Final choice,0.9222222222,Qwen,False,Qwen
Qwen,Summary,Fluency,0.9555555556,Qwen,False,Qwen
Qwen,Summary,Motivational tone,0.8777777778,Gemini,False,Gemini
Qwen,Summary,Sentiment match,0.9111111111,Qwen,False,Qwen
